2025-04-30 15:25:45,937 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:45,937 - WebSocket closed: None, None
2025-04-30 15:25:50,942 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:50,943 - WebSocket closed: None, None
2025-04-30 15:25:55,948 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:25:55,949 - WebSocket closed: None, None
2025-04-30 15:26:00,954 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:00,955 - WebSocket closed: None, None
2025-04-30 15:26:05,961 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:05,962 - WebSocket closed: None, None
2025-04-30 15:26:10,969 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:10,969 - WebSocket closed: None, None
2025-04-30 15:26:15,974 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:15,975 - WebSocket closed: None, None
2025-04-30 15:26:20,981 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:20,981 - WebSocket closed: None, None
2025-04-30 15:26:25,990 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:25,990 - WebSocket closed: None, None
2025-04-30 15:26:30,996 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:30,996 - WebSocket closed: None, None
2025-04-30 15:26:36,002 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:36,002 - WebSocket closed: None, None
2025-04-30 15:26:41,006 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:41,007 - WebSocket closed: None, None
2025-04-30 15:26:46,013 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:46,013 - WebSocket closed: None, None
2025-04-30 15:26:51,020 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:51,020 - WebSocket closed: None, None
2025-04-30 15:26:56,026 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:26:56,026 - WebSocket closed: None, None
2025-04-30 15:27:01,032 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:01,032 - WebSocket closed: None, None
2025-04-30 15:27:06,036 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:06,037 - WebSocket closed: None, None
2025-04-30 15:27:11,039 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:11,039 - WebSocket closed: None, None
2025-04-30 15:27:16,044 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:16,044 - WebSocket closed: None, None
2025-04-30 15:27:21,048 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:21,049 - WebSocket closed: None, None
2025-04-30 15:27:26,053 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:26,053 - WebSocket closed: None, None
2025-04-30 15:27:31,056 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:31,057 - WebSocket closed: None, None
2025-04-30 15:27:36,061 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:36,062 - WebSocket closed: None, None
2025-04-30 15:27:41,066 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:41,067 - WebSocket closed: None, None
2025-04-30 15:27:46,074 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:46,074 - WebSocket closed: None, None
2025-04-30 15:27:51,079 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:51,079 - WebSocket closed: None, None
2025-04-30 15:27:56,084 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:27:56,084 - WebSocket closed: None, None
2025-04-30 15:28:01,091 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:01,091 - WebSocket closed: None, None
2025-04-30 15:28:06,098 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:06,098 - WebSocket closed: None, None
2025-04-30 15:28:11,105 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:11,105 - WebSocket closed: None, None
2025-04-30 15:28:16,111 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:16,111 - WebSocket closed: None, None
2025-04-30 15:28:21,117 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:21,118 - WebSocket closed: None, None
2025-04-30 15:28:26,125 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:26,125 - WebSocket closed: None, None
2025-04-30 15:28:31,132 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:31,133 - WebSocket closed: None, None
2025-04-30 15:28:36,138 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:36,138 - WebSocket closed: None, None
2025-04-30 15:28:41,141 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:41,141 - WebSocket closed: None, None
2025-04-30 15:28:46,143 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:46,143 - WebSocket closed: None, None
2025-04-30 15:28:51,153 - WebSocket error: maximum recursion depth exceeded while calling a Python object
2025-04-30 15:28:51,153 - WebSocket closed: None, None
2025-04-30 15:28:56,160 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:28:56,160 - WebSocket closed: None, None
2025-04-30 15:29:01,164 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:29:01,164 - WebSocket closed: None, None
2025-04-30 15:29:06,169 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:29:06,169 - WebSocket closed: None, None
2025-04-30 15:29:11,172 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:29:11,173 - WebSocket closed: None, None
2025-04-30 15:29:16,177 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:29:16,177 - WebSocket closed: None, None
2025-04-30 15:29:21,180 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:29:21,181 - WebSocket closed: None, None
2025-04-30 15:29:26,184 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:47:33,615 - Connected to Vybe live endpoint
2025-04-30 16:00:50,479 - Connected to Vybe live endpoint
2025-04-30 16:02:09,425 - Connected to Vybe live endpoint
2025-04-30 16:06:24,398 - WebSocket error: [Errno 54] Connection reset by peer
2025-04-30 16:06:24,399 - WebSocket closed: None, None
2025-04-30 16:06:30,596 - Connected to Vybe live endpoint
2025-04-30 16:06:30,597 - Sent configuration for raydium: {'type': 'configure', 'filters': {'trades': [{'programId': '675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8', 'marketId': ''}], 'transfers': [], 'oraclePrices': []}}
2025-04-30 16:10:37,278 - Connected to Vybe live endpoint
2025-04-30 16:12:10,342 - Connected to Vybe live endpoint
2025-04-30 16:16:16,992 - Connected to Vybe live endpoint
2025-04-30 16:19:07,849 - Connected to Vybe live endpoint
2025-04-30 16:24:26,796 - Connected to Vybe live endpoint
2025-04-30 16:30:08,681 - Connected to Vybe live endpoint
